name,gameplayMain,gameplayMainExtra,gameplayCompletionist,imageUrl,id
ARK Survival Evolved,148,212,179,https://howlongtobeat.com/games/ARK_Survival_Evolved_header.jpg,26629
Minecraft,122,319,225,https://howlongtobeat.com/games/256px-Minecraft_1.1_Title.png,6064
NBA 2K20,116,0,0,https://howlongtobeat.com/games/68855_NBA_2K20.jfif,68855
Black Desert,72,0,0,https://howlongtobeat.com/games/Black_Desert_Online.jpg,30340
DayZ,65.5,6,77,https://howlongtobeat.com/games/DayZ_Standalone_Logo.jpg,2290
My Time At Portia,64,91.5,146,https://howlongtobeat.com/games/52787_My_Time_At_Portia.jpg,52787
The Bards Tale IV Directors Cut,59,63,81.5,https://howlongtobeat.com/games/69339_The_Bards_Tale_IV_Directors_Cut.jpg,69339
The Witcher 3 Wild Hunt,51,102,173,https://howlongtobeat.com/games/256px-TW3_Wild_Hunt_logo.png,10270
Age of Wonders Planetfall,48,0,0,https://howlongtobeat.com/games/59880_Age_of_Wonders_Planetfall.jpg,59880
Red Dead Redemption 2,47.5,77,164,https://howlongtobeat.com/games/27100_Red_Dead_Redemption_2.png,27100
Kingdom Come Deliverance,40,72.5,123,https://howlongtobeat.com/games/Kingdom-Come-Deliverance.jpg,21697
Wasteland 2,39.5,64,109,https://howlongtobeat.com/games/Wasteland2art.jpg,11099
Farming Simulator 17,37,150,486,https://howlongtobeat.com/games/40668_Farming_Simulator_17.jpg,40668
Age of Empires II Definitive Edition,34.5,100,210,https://howlongtobeat.com/games/68260_Age_of_Empires_II_Definitive_Edition.jfif,68260
MISTOVER,33.5,37.5,85,https://howlongtobeat.com/games/71153_MISTOVER.jpg,71153
Phoenix Point,32,75.5,0,https://howlongtobeat.com/games/53702_Phoenix_Point.jpg,53702
CrossCode,31.5,50,79,https://howlongtobeat.com/games/crosscode_indie.png,24970
Yakuza 0,31,65.5,137,https://howlongtobeat.com/games/43056_Yakuza_0.jpg,43056
Battle Chasers Nightwar,28.5,41.5,66,https://howlongtobeat.com/games/Battle_Chasers_Nightwar_download.jpg,30017
Fallout New Vegas,27.5,60,129,https://howlongtobeat.com/games/Fallout_New_Vegas.jpg,3351
Subnautica,27.5,44,56.5,https://howlongtobeat.com/games/Subnautica_header.jpg,23740
Torment Tides of Numenera,26,33,48,https://howlongtobeat.com/games/TormentToNcover.jpg,10533
Hollow Knight,25,37.5,53.5,https://howlongtobeat.com/games/Hollow_Knight_collection_branding.jpg,26286
Payday 2 Crimewave Edition,24.5,90.5,0,https://howlongtobeat.com/games/44402_Payday_2_Crimewave_Edition.jpg,44402
The Bards Tale Trilogy,24,49,129,https://howlongtobeat.com/games/59950_The_Bards_Tale_Trilogy.jpg,59950
Ashes Cricket,23,0,37,https://howlongtobeat.com/games/60882_Ashes_Cricket.jpg,60882
Metal Gear Survive,22,32,49.5,https://howlongtobeat.com/games/40116_Metal_Gear_Survive.jpg,40116
The Surge 2,22,25.5,37,https://howlongtobeat.com/games/67880_The_Surge_2.jpg,67880
We Happy Few,21,42,75,https://howlongtobeat.com/games/We_Happy_Few_logo.jpg,27102
The Hunter Call of the Wild,20.5,90,130,https://howlongtobeat.com/games/43633_theHunter_Call_of_the_Wild.jpg,43633
Enter the Gungeon,20.5,46,153,https://howlongtobeat.com/games/35549_Enter_the_Gungeon.jpg,35549
Stellaris,20.5,41.5,62.5,https://howlongtobeat.com/games/37186_Stellaris.jpg,37186
Wargroove,20.5,37,67.5,https://howlongtobeat.com/games/61653_Wargroove.jpg,61653
Viva Piata,19,32,51,https://howlongtobeat.com/games/250px-Viva_pinyata.jpg,10976
Surviving Mars,18.5,37.5,123,https://howlongtobeat.com/games/45951_Surviving_Mars.jpg,45951
Alien Isolation,18.5,23,32,https://howlongtobeat.com/games/Alien_Isolation.jpg,16638
Rise of Nations Extended Edition,18,39,62.5,https://howlongtobeat.com/games/RiseofNationsExtendedEdition_292x136.jpg,19796
Yakuza Kiwami,18,33,82.5,https://howlongtobeat.com/games/39484_Ryu_ga_Gotoku_Kiwami.jpg,39484
The Long Dark,17.5,43.5,148,https://howlongtobeat.com/games/The_Long_Dark_header.jpg,21471
Grid 2,17.5,21,28.5,https://howlongtobeat.com/games/250px-Grid_2_box_artwork.png,4117
Mass Effect,17,28.5,44,https://howlongtobeat.com/games/Mass_Effect_poster.jpg,5698
Imperator Rome,17,0,120,https://howlongtobeat.com/games/59970_Imperator_Rome.jpg,59970
Spintires MudRunner,16,23,37,https://howlongtobeat.com/games/50209_Spintires_MudRunner.jpg,50209
BanjoTooie,16,23,23,https://howlongtobeat.com/games/250px-Banjo-Tooie_Coverart.png,837
Disneyland Adventures,16,20,28.5,https://howlongtobeat.com/games/Disneyland_Adventures.jpg,4994
The Talos Principle,15.5,20.5,28,https://howlongtobeat.com/games/TheTalosPrinciple.jpg,22530
Astroneer,15,29,56,https://howlongtobeat.com/games/42182_Astroneer.jpg,42182
YookaLaylee,15,21,25,https://howlongtobeat.com/games/Yooka-Laylee_artwork.jpg,26277
Outer Wilds,15,19.5,21,https://howlongtobeat.com/games/57527_Outer_Wilds.jpg,57527
Metro Exodus,14.5,22.5,35,https://howlongtobeat.com/games/46401_Metro_Exodus.jpg,46401
Worms WMD,14.5,17,24.5,https://howlongtobeat.com/games/39481_Worms_WMD.jpg,39481
Moonlighter,14,20.5,25.5,https://howlongtobeat.com/games/56787_Moonlighter.jpg,56787
Zoo Tycoon Ultimate Animal Collection,14,15,82,https://howlongtobeat.com/games/52069_Zoo_Tycoon_Ultimate_Animal_Collection.jpg,52069
Mega Man Legacy Collection 2,14,0,0,https://howlongtobeat.com/games/48058_Mega_Man_Legacy_Collection_2.jpg,48058
Remnant From the Ashes,13.5,19.5,44,https://howlongtobeat.com/games/68318_Remnant_From_the_Ashes.jpg,68318
Children of Morta,13.5,16,27.5,https://howlongtobeat.com/games/Children-of-Morta.jpg,22534
The Walking Dead  A Telltale Games Series,13.5,0,0,https://howlongtobeat.com/games/The_Walking_Dead-game-cover.jpg,10250
Dead Cells,13,26,82,https://howlongtobeat.com/games/45727_Dead_Cells.jpg,45727
Mutant Year Zero Road to Eden,13,16.5,21,https://howlongtobeat.com/games/62811_Mutant_Year_Zero_Road_to_Eden.jpg,62811
The Outer Worlds,12,23.5,35,https://howlongtobeat.com/games/62935_The_Outer_Worlds.jpg,62935
FTL Faster Than Light,11.5,29,116,https://howlongtobeat.com/games/FTL_Faster_Than_Light_Logo.jpg,3738
Doom 2016,11.5,16,25.5,https://howlongtobeat.com/games/doom_2016.jpg,2708
Slay the Spire,11,41,227,https://howlongtobeat.com/games/51390_Slay_the_Spire.jpg,51390
Ori and the Will of the Wisps,11,14.5,17,https://howlongtobeat.com/games/46428_Ori_and_the_Will_of_the_Wisps.jpg,46428
BanjoKazooie,11,14.5,15,https://howlongtobeat.com/games/250px-BanjoKazooieCover500px.jpg,834
The Banner Saga,10.5,13.5,26.5,https://howlongtobeat.com/games/The_Banner_Saga.jpg,9769
Gears 5,10.5,13.5,18,https://howlongtobeat.com/games/57422_Gears_5.jpg,57422
For The King,10,31,79.5,https://howlongtobeat.com/games/45024_For_The_King.jpg,45024
Frostpunk,10,20.5,39.5,https://howlongtobeat.com/games/41585_Frostpunk.jpg,41585
Sunset Overdrive,10,18.5,34,https://howlongtobeat.com/games/Sunset_Overdrive_cover.jpg,21278
Rage 2,10,18,29,https://howlongtobeat.com/games/58031_Rage_2.jpg,58031
Sniper Elite 4,10,16,35.5,https://howlongtobeat.com/games/40715_Sniper_Elite_4.jpg,40715
Metro Last Light Redux,10,13.5,25.5,https://howlongtobeat.com/games/MetroLastLightRedux_292x136.jpg,20883
Gears of War 2,10,12.5,62,https://howlongtobeat.com/games/256px-Gow2_offbox.jpg,3863
Gears of War 3,9.5,12.5,19,https://howlongtobeat.com/games/250px-Gears_of_War_3_box_artwork.png,3865
Deaths Gambit,9.5,11.5,13.5,https://howlongtobeat.com/games/Deaths_Gambit_header.jpg,25040
Hello Neighbor,9,19.5,20.5,https://howlongtobeat.com/games/40794_Hello_Neighbor.jpg,40794
LEGO Star Wars III The Clone Wars,9,15,30,https://howlongtobeat.com/games/Lego_Star_Wars_III_-_The_Clone_Wars_Coverart.png,5262
The Flame in the Flood,9,15,25,https://howlongtobeat.com/games/The_Flame_in_the_Flood_header.jpg,29911
Wolfenstein Youngblood,9,14.5,29,https://howlongtobeat.com/games/57504_Wolfenstein_Youngblood.jpeg,57504
The Banner Saga 3,9,13,19,https://howlongtobeat.com/games/54142_The_Banner_Saga_3.jpg,54142
