name,gameplayMain,gameplayMainExtra,gameplayCompletionist,imageUrl,id
Football Manager 2020,187,368,580,https://howlongtobeat.com/games/72042_Football_Manager_2020.jpg,72042
FIFA 15,143,126,54.5,https://howlongtobeat.com/games/FIFA_15_Cover_Art.jpg,21232
Mount  Blade Warband,120,2,643,https://howlongtobeat.com/games/250px-CoverOfMBWarband.jpg,6240
Sea of Thieves,115,30.5,40.5,https://howlongtobeat.com/games/38053_Sea_of_Thieves.jpg,38053
Deep Rock Galactic,99,100,0,https://howlongtobeat.com/games/47169_Deep_Rock_Galactic.jpg,47169
Terraria,92,73.5,30,https://howlongtobeat.com/games/Terraria_292x136.jpg,9705
Crusader Kings III,76,88,0,https://howlongtobeat.com/games/71763_Crusader_Kings_III.jpg,71763
Black Desert,72,0,0,https://howlongtobeat.com/games/Black_Desert_Online.jpg,30340
My Time At Portia,70,98,140,https://howlongtobeat.com/games/52787_My_Time_At_Portia.jpg,52787
DayZ,65.5,6,77,https://howlongtobeat.com/games/DayZ_Standalone_Logo.jpg,2290
The Witcher 3 Wild Hunt,51.5,102,173,https://howlongtobeat.com/games/10270_The_Witcher_3_Wild_Hunt.jpg,10270
BattleTech 2018,51,69,104,https://howlongtobeat.com/games/55977_BattleTech_(2018).jpg,55977
Madden NFL 20,49,0,0,https://howlongtobeat.com/games/68136_Madden_NFL_20.jpg,68136
Age of Wonders Planetfall,48,0,0,https://howlongtobeat.com/games/59880_Age_of_Wonders_Planetfall.jpg,59880
Madden NFL 25,43,0,30,https://howlongtobeat.com/games/Madden_NFL_25_Next-Gen.jpeg,12653
Final Fantasy VIII,41.5,56.5,85.5,https://howlongtobeat.com/games/Final_Fantasy_8_ntsc-front.jpg,3524
Dragon Age Origins,40.5,59,87,https://howlongtobeat.com/games/Dragon_Age.jpg,2760
Madden NFL 17,40.5,0,0,https://howlongtobeat.com/games/34667_Madden_NFL_17.jpeg,34667
Wasteland 2,39.5,64,109,https://howlongtobeat.com/games/Wasteland2art.jpg,11099
Final Fantasy IX,39.5,54,84,https://howlongtobeat.com/games/Ffixbox.jpg,3505
Infinifactory,38,58,79.5,https://howlongtobeat.com/games/Infinifactory_header.jpg,27366
FIFA 18,37.5,18.5,46,https://howlongtobeat.com/games/49476_FIFA_18.png,49476
Farming Simulator 17,37,150,486,https://howlongtobeat.com/games/40668_Farming_Simulator_17.jpg,40668
Phoenix Point,37,75.5,0,https://howlongtobeat.com/games/53702_Phoenix_Point.jpg,53702
Pillars of Eternity Complete Edition,36,63.5,104,https://howlongtobeat.com/games/71293_Pillars_of_Eternity_-_Complete_Edition.jpg,71293
Age of Empires II Definitive Edition,34.5,151,196,https://howlongtobeat.com/games/68260_Age_of_Empires_II_Definitive_Edition.jfif,68260
Age of Empires II Definitive Edition,34.5,151,196,https://howlongtobeat.com/games/68260_Age_of_Empires_II_Definitive_Edition.jfif,68260
Dont Starve,34.5,77,128,https://howlongtobeat.com/games/2675_Dont_Starve.jpg,2675
Fallout 76,34,94.5,193,https://howlongtobeat.com/games/57416_Fallout_76.jpg,57416
CrossCode,31.5,48.5,75.5,https://howlongtobeat.com/games/crosscode_indie.png,24970
Disgaea 4 Complete,31,45,268,https://howlongtobeat.com/games/71701_Disgaea_4_Complete.jpg,71701
No Mans Sky,30.5,67,93.5,https://howlongtobeat.com/games/No_Mans_Sky_logo.png,20074
Pathologic 2,28.5,38,47.5,https://howlongtobeat.com/games/51105_Pathologic_2.jpg,51105
Subnautica,28,44.5,58,https://howlongtobeat.com/games/Subnautica_header.jpg,23740
Battle Chasers Nightwar,27.5,41.5,64.5,https://howlongtobeat.com/games/Battle_Chasers_Nightwar_download.jpg,30017
Thronebreaker The Witcher Tales,27.5,35.5,42,https://howlongtobeat.com/games/61381_Thronebreaker_The_Witcher_Tales.jpg,61381
NBA Live 19,27.5,0,0,https://howlongtobeat.com/games/61335_NBA_Live_19.jpeg,61335
Monster Sanctuary,27,35,0,https://howlongtobeat.com/games/70012_Monster_Sanctuary.jpg,70012
Sword Art Online Fatal Bullet,26,46,149,https://howlongtobeat.com/games/53186_SWORD_ART_ONLINE_FATAL_BULLET.jpg,53186
